Fighter Name,slpmSecondSplit,strAccSecondSplit,sapmSecondSplit,strDefSecondSplit,tdAvgSecondSplit,tdAccSecondSplit,tdDefSecondSplit,subAvgSecondSplit,X,Y
Amar Suloev,1.98,37,2.19,70,0.27,100,88,0.3,7, 8
Amir Sadollah,4.71,46,3.55,60,0.57,27,60,0.3,7, 2
Anderson Silva,3.04,62,1.98,61,0.52,77,69,0.8,8, 8
Andre Ewell,3.74,40,3.95,54,0.21,50,66,0.0,7, 3
Andre Fili,4.0,37,3.96,53,2.49,45,69,0.2,6, 4
Andre Galvao,2.34,52,1.56,58,2.02,27,0,2.8,0, 0
Andre Soukhamthath,2.77,44,4.31,49,1.25,53,58,0.2,5, 8
Andre Winner,2.52,33,4.57,51,0.0,0,74,0.0,8, 0
Andrea Lee,5.4,48,3.8,65,1.4,38,61,0.6,8, 4
Andrei Arlovski,3.55,44,2.69,59,0.52,36,79,0.3,8, 3
Andrew Craig,2.39,40,3.01,50,0.53,37,72,0.0,5, 3
Andrew Holbrook,2.2,49,3.0,54,0.85,18,10,2.1,0, 0
Andrew Sanchez,4.49,43,4.92,50,2.25,33,100,0.0,8, 3
Andrews Nakahara,2.68,44,1.9,57,0.0,0,72,0.4,6, 0
Andy Ogle,2.24,44,2.23,50,1.44,26,58,0.0,4, 2
Angela Hill,5.74,49,5.13,64,0.5,37,72,0.2,8, 3
Anthony Birchak,3.98,35,2.26,66,0.68,16,83,0.0,8, 0
Anthony Figueroa,2.37,48,3.77,49,0.0,0,58,0.0,5, 0
Anthony Hamilton,3.91,65,3.02,45,2.62,42,78,0.0,8, 5
Anthony Johnson,3.25,47,1.83,60,2.43,57,77,0.6,1, 8
Anthony Njokuani,3.94,46,2.41,65,0.5,45,53,0.2,6, 6
Anthony Perosh,2.27,43,3.77,53,2.03,22,33,1.1,2, 0
Anthony Pettis,2.97,46,3.48,53,0.67,54,58,1.2,5, 8
Anthony Rocco Martin,2.7,36,2.45,59,0.68,25,64,1.1,5, 2
Anthony Ruiz,2.56,64,1.67,28,1.43,31,21,0.0,0, 0
Anthony Smith,3.06,47,4.28,44,0.41,26,51,0.8,5, 1
Antoni Hardonk,3.4,61,3.07,46,0.0,0,40,0.9,4, 0
Antonina Shevchenko,4.9,57,1.92,65,0.67,100,58,1.0,8, 8
Antonio Banuelos,2.69,33,3.15,58,1.62,62,86,0.4,4, 8
Antonio Carlos Junior,1.91,44,1.98,53,3.7,44,53,0.9,0, 6
Antonio Carvalho,3.03,29,3.62,64,0.0,0,100,0.0,8, 0
Antonio Schembri,0.72,26,2.12,55,1.31,40,0,0.4,0, 1
Antonio Silva,2.89,45,3.09,50,0.82,29,66,0.8,5, 2
Antwain Britt,1.46,39,2.81,44,1.56,40,50,0.0,3, 3
Arjan Bhullar,2.33,56,3.25,59,1.73,75,100,0.0,8, 7
Arnold Allen,3.19,41,2.0,67,1.36,52,76,0.5,4, 8
Artem Lobov,3.52,41,4.82,50,0.39,25,52,0.0,5, 1
Ashlee Evans-Smith,4.86,35,4.39,57,1.3,25,72,0.0,8, 1
Ashley Yoder,3.1,42,3.56,49,1.33,38,66,0.5,5, 3
Aspen Ladd,5.22,55,4.84,46,2.45,75,66,1.2,8, 6
Assuerio Silva,1.42,46,4.2,54,2.66,34,25,1.8,0, 1
Atsushi Yamamoto,1.97,39,1.27,70,1.12,33,100,0.0,3, 8
Augusto Sakai,5.51,46,3.77,57,0.24,50,88,0.0,8, 4
Austin Arnett,4.52,41,6.38,62,0.44,18,57,0.2,8, 0
Bart Palaszewski,2.67,32,3.97,57,0.65,31,53,0.5,4, 2
Bartosz Fabinski,2.22,70,1.35,53,7.17,70,80,0.0,0, 8
Bec Rawlings,4.48,42,5.66,57,0.71,40,68,0.4,8, 2
Belal Muhammad,4.37,41,3.81,60,2.15,31,83,0.2,8, 3
Ben Nguyen,3.51,40,3.01,59,0.25,33,63,1.0,6, 2
Ben Rothwell,3.34,42,4.58,46,0.66,33,69,0.3,7, 2
Ben Saunders,3.23,50,3.58,51,0.2,40,66,1.3,6, 3
Beneil Dariush,3.87,49,2.65,59,1.8,33,80,1.1,7, 4
Benji Radach,2.62,49,2.31,51,1.06,41,71,0.4,5, 7
Benson Henderson,2.93,45,1.79,63,2.4,45,63,0.8,5, 6
Bethe Correia,4.47,44,4.28,60,0.37,20,84,0.0,8, 0
Bibiano Fernandes,2.91,40,2.02,72,3.97,53,77,0.6,0, 8
Billy Evangelista,4.51,40,3.96,61,1.6,19,61,0.2,7, 1
BJ Penn,2.76,48,3.2,56,1.19,55,74,0.5,5, 8
Blagoy Ivanov,3.09,38,3.93,55,1.07,62,75,0.2,5, 8
Blas Avena,2.34,47,3.36,43,2.37,80,50,1.8,7, 8
Bob Sapp,3.19,55,1.88,49,0.58,100,72,0.0,8, 8
Bobby Green,4.95,49,3.7,63,1.12,29,74,0.3,8, 3
Bobby Southworth,0.99,39,1.38,65,3.98,78,64,1.3,0, 7
Bobby Stack,1.0,20,2.89,34,7.48,45,100,0.0,0, 8
Bobby Voelker,4.01,35,5.84,42,1.04,50,66,0.0,8, 3
Bojan Velickovic,2.18,34,2.31,57,0.67,25,55,0.5,3, 1
Brad Blackburn,4.55,35,3.59,65,0.93,50,76,0.7,8, 4
Brad Katona,3.33,51,2.98,57,1.25,22,47,0.0,5, 1
Brad Pickett,3.02,31,4.63,55,2.47,44,58,0.4,4, 4
Brad Tavares,3.0,40,2.76,55,1.03,27,77,0.0,8, 1
Bradley Scott,3.52,41,4.31,57,0.32,15,63,0.7,7, 0
Brandon Davis,4.65,35,4.33,60,0.71,45,56,0.1,7, 3
Brandon Moreno,3.0,34,2.94,63,1.75,40,69,0.5,5, 5
Brandon Thatch,2.7,42,3.63,52,1.36,66,50,0.7,6, 8
Brandon Vera,3.03,56,2.81,52,0.7,53,59,0.2,7, 7
Brendan O'Reilly,1.9,47,2.77,39,2.22,43,36,0.6,0, 4
Brendan Schaub,2.92,37,2.22,57,2.32,46,72,0.4,5, 6
Brett Johns,3.3,48,4.27,54,4.29,52,61,1.0,0, 7
Brett Rogers,3.17,44,3.2,46,0.0,0,58,0.0,5, 0
Brian Bowles,2.36,26,2.98,64,1.39,70,54,1.4,5, 8
Brian Ebersole,2.32,49,2.14,56,1.7,23,61,0.1,5, 1
Brian Foster,3.3,39,1.63,65,3.67,60,37,1.8,0, 5
Brian Kelleher,4.87,45,5.83,54,1.47,29,84,0.9,8, 2
Brian Melancon,4.18,49,3.64,64,2.02,100,66,0.0,8, 8
Brian Ortega,4.07,33,7.36,50,0.51,16,56,1.4,8, 0
Brian Stann,3.28,42,2.65,59,0.12,12,60,0.3,5, 0
Brock Larson,1.39,46,1.5,55,2.67,34,43,2.0,1, 5
Brock Lesnar,3.53,72,2.11,50,3.9,55,60,0.5,8, 7
Bryan Barberena,5.65,48,5.0,44,0.26,33,47,0.3,6, 2
Bryan Caraway,2.53,34,3.61,54,2.57,25,80,0.8,4, 5
Bryce Mitchell,1.78,50,1.81,59,1.75,28,33,1.8,0, 0
Cain Velasquez,6.37,57,2.33,57,5.13,45,85,0.4,0, 8
Caio Magalhaes,2.27,40,2.78,56,1.05,15,58,1.6,4, 0
Calvin Kattar,5.12,41,6.36,57,0.47,33,77,0.0,8, 2
Caol Uno,1.91,49,1.9,50,1.95,31,37,0.5,2, 1
Carla Esparza,2.22,40,2.86,53,3.53,36,48,0.3,0, 5
Carlo Prater,2.03,47,4.07,35,0.43,9,57,1.7,4, 0
Carlos Condit,3.56,39,2.34,57,0.58,55,36,1.2,2, 3
Carlos Newton,0.65,41,1.55,44,2.47,70,43,0.9,0, 5
Carmelo Marrero,0.84,34,2.04,54,3.21,36,36,0.9,0, 4
Caros Fodor,2.76,54,2.83,54,2.1,25,50,0.0,5, 2
Casey Olson,2.48,60,0.0,100,3.54,57,100,1.8,1, 8
Cat Zingano,2.57,61,1.63,47,2.77,65,42,0.8,8, 8
Cathal Pendred,2.49,44,3.01,55,2.46,23,83,0.4,8, 2
CB Dollaway,2.65,47,2.58,54,3.55,54,62,1.2,0, 7
Cezar Ferreira,1.9,42,2.44,53,2.69,53,84,0.5,1, 8
Chad Griggs,2.67,50,2.22,46,1.51,66,41,0.0,7, 8
Chad Laprise,4.78,42,3.59,65,1.05,54,78,0.0,8, 5
Chad Mendes,2.78,49,2.35,67,4.13,55,100,0.3,0, 8
Chael Sonnen,3.08,43,1.1,62,3.81,59,66,0.4,0, 7
Chan Sung Jung,4.58,41,3.73,60,0.78,41,77,0.6,8, 3
Chance Rencountre,1.1,20,3.62,49,1.35,26,16,0.3,0, 1
Charles Bennett,1.39,39,1.35,64,2.02,100,36,2.0,7, 8
Charles Oliveira,3.27,51,3.08,54,2.61,42,57,2.8,2, 7
Charles Rosa,3.79,36,4.22,50,2.82,34,47,1.2,4, 3
Charlie Brenneman,1.52,56,1.55,46,4.23,42,72,0.0,0, 8
Charlie Valencia,2.58,37,2.61,77,1.4,53,75,0.5,4, 8
Chas Skelly,2.02,40,3.35,48,1.71,34,33,2.4,1, 1
Chase Beebe,2.17,38,1.64,69,2.49,42,41,0.9,0, 5
Chase Sherman,5.81,43,5.76,51,0.0,0,77,0.0,8, 0
Che Mills,2.08,52,2.87,43,1.18,66,58,0.0,7, 8
Cheick Kongo,3.33,56,1.28,54,2.3,56,52,0.2,7, 8
Chico Camus,2.58,41,2.46,64,0.77,40,72,0.4,5, 6
Chris Beal,3.45,35,3.18,61,1.6,58,78,0.2,5, 8
Chris Brennan,0.6,40,0.97,50,0.0,0,25,2.1,1, 0
Chris Camozzi,3.57,44,2.96,56,0.27,19,57,0.5,5, 0
Chris Cariaso,3.35,43,2.23,61,1.11,39,57,0.8,5, 4
Chris Clements,3.2,49,2.37,44,0.0,0,32,0.3,3, 0
Chris Cope,3.96,26,4.82,50,0.0,0,80,0.0,8, 0
Chris de la Rocha,4.08,45,6.37,43,2.02,30,33,1.0,4, 2
Chris Dempsey,2.25,32,2.82,65,2.64,23,16,0.0,0, 1
Chris Gruetzemacher,7.12,58,5.09,56,0.0,0,62,0.0,7, 0
Chris Horodecki,4.59,41,3.16,65,1.52,55,37,0.9,6, 7
Chris Kelades,2.4,43,2.64,48,1.04,18,53,0.3,4, 0
Chris Leben,2.87,42,2.87,52,1.14,41,53,0.8,4, 3
Chris Lytle,3.76,45,3.03,58,0.7,55,55,2.4,6, 7
Chris Spang,1.83,36,1.95,60,0.0,0,50,0.9,3, 0
Chris Tuchscherer,1.35,31,3.17,47,1.19,18,0,0.6,0, 0
Chris Wade,1.7,53,1.75,51,2.6,51,55,1.1,0, 6
Chris Weidman,3.14,42,3.25,51,3.82,50,73,1.0,0, 8
Chris Wilson,2.32,50,1.36,55,1.31,50,60,1.6,4, 8
Christian Morecraft,2.82,34,2.46,46,3.26,66,50,2.2,0, 6
Christian Wellisch,3.12,27,3.04,56,1.22,42,45,1.2,2, 3
Christos Giagos,3.05,40,2.73,49,2.74,42,50,0.4,4, 4
Chuck Liddell,2.97,35,2.71,56,0.44,75,81,0.0,6, 8
Claude Patrick,1.8,55,0.89,69,2.32,53,84,1.7,2, 8
Claudia Gadelha,3.17,42,4.38,58,3.34,47,58,0.8,0, 6
Claudio Silva,2.8,51,2.17,45,3.32,33,50,2.1,1, 6
Clay Collard,4.22,32,5.0,50,2.81,39,71,0.5,8, 3
Clay Guida,2.45,33,2.4,65,3.39,38,69,0.7,4, 6
Clint Hester,3.36,42,3.44,56,1.02,35,60,0.0,6, 2
Cody Donovan,5.61,59,5.44,45,1.67,28,0,1.7,0, 0
Cody Garbrandt,3.53,37,3.53,64,0.94,33,100,0.0,8, 2
Cody Gibson,2.47,31,2.54,63,1.85,38,58,0.4,4, 4
Cody McKenzie,1.74,34,2.5,67,2.5,25,14,2.5,0, 1
Cody Pfister,1.41,25,2.8,51,2.82,30,0,0.0,0, 1
Cody Stamann,4.25,49,3.06,64,3.58,48,86,0.0,0, 8
Colby Covington,4.17,37,3.02,55,4.91,51,78,0.2,0, 8
Cole Escovedo,1.77,43,4.32,49,0.43,33,13,0.0,0, 0
Cole Miller,3.0,33,3.88,59,0.6,36,38,1.8,2, 2
Colton Smith,1.64,41,2.3,51,4.09,36,25,1.4,0, 4
Conor Heun,2.92,36,3.66,54,2.45,31,33,0.3,2, 2
Conor McGregor,5.43,49,4.4,55,0.75,62,70,0.0,8, 5
Corey Anderson,4.43,46,2.22,59,4.89,50,83,0.0,0, 8
Cortney Casey,4.8,38,4.73,53,0.35,30,38,0.5,5, 1
Cory Devela,4.07,41,4.0,47,1.07,12,62,0.0,6, 0
Cory Sandhagen,7.14,48,4.16,58,1.24,50,27,0.6,7, 5
Costas Philippou,2.19,35,2.73,54,0.4,42,65,0.3,4, 4
Coty Wheeler,1.88,22,3.16,59,0.87,37,33,2.6,1, 2
Court McGee,4.86,35,3.8,61,1.71,21,63,0.4,8, 1
Cris Cyborg,7.28,52,2.25,64,0.66,55,94,0.4,8, 5
Cristiano Marcello,2.56,33,3.61,58,0.44,11,20,0.9,1, 0
Cub Swanson,4.59,49,3.65,61,1.06,50,60,0.5,7, 5
Cung Le,4.36,48,2.98,66,1.37,71,88,0.3,8, 6
Curtis Blaydes,3.74,51,1.86,57,6.63,55,25,0.0,0, 6
Curtis Millender,3.86,46,2.95,61,0.43,100,57,0.0,8, 8
Curtis Stout,0.69,67,3.2,29,0.0,0,20,0.0,0, 0
Cynthia Calvillo,4.12,43,3.54,63,1.83,43,69,1.6,7, 4
Cyril Asker,3.35,39,5.82,35,4.41,62,100,0.9,0, 8
Cyrille Diabate,4.06,71,1.78,60,1.17,83,53,0.2,8, 8
Daijiro Matsui,0.84,45,1.69,55,1.83,30,43,0.4,2, 2
Daiju Takase,0.49,30,1.64,47,0.84,17,21,1.2,0, 0
Daisuke Nakamura,0.94,30,1.38,61,0.46,40,30,3.6,1, 2
Damacio Page,2.05,38,2.47,51,2.63,64,23,0.9,0, 4
DaMarques Johnson,2.11,37,3.75,51,1.18,55,19,0.7,0, 2
Damian Stasiak,1.86,36,3.1,52,2.64,35,43,0.6,1, 4
Damien Brown,3.66,38,4.86,50,0.68,27,53,0.7,5, 1
Damir Hadzovic,2.99,46,2.99,66,0.68,60,39,0.2,6, 8
Dan Bobish,2.06,44,1.74,34,2.44,42,0,1.6,0, 1
Dan Hardy,2.46,35,3.44,51,0.73,35,35,0.4,2, 1
Dan Henderson,2.44,47,2.7,51,1.52,52,57,0.3,5, 8
Dan Hooker,4.76,45,4.67,55,0.43,28,78,0.3,8, 2
Dan Ige,3.89,49,2.69,62,2.38,35,61,0.8,6, 4
Dan Lauzon,1.34,25,4.09,61,1.63,33,80,2.7,3, 6
Dan Miller,2.03,36,3.06,49,1.67,54,47,1.8,1, 5
Daniel Acacio,3.52,36,2.85,62,0.33,20,81,0.0,8, 0
Daniel Cormier,4.25,52,2.75,56,1.95,44,77,0.5,8, 5
Daniel Kelly,3.62,38,4.64,61,1.86,34,78,0.3,8, 2
Daniel Omielanczuk,3.09,57,3.29,47,0.56,26,68,0.1,6, 1
Daniel Pineda,2.99,43,2.51,47,1.46,25,48,2.0,3, 1
Daniel Puder,2.77,68,1.17,38,1.21,50,81,9.0,2, 7
Daniel Roberts,0.73,20,2.27,46,2.46,44,40,2.5,1, 4
Daniel Sarafian,2.23,46,3.1,58,0.36,7,53,0.7,4, 0
Daniel Spitz,2.6,35,5.3,46,0.74,66,0,0.0,0, 2
Daniel Teymur,3.08,46,3.93,56,0.56,18,60,0.3,6, 0
Danielle Taylor,2.75,29,3.31,71,0.2,20,70,0.2,8, 0
Danny Castillo,2.57,42,1.96,62,2.95,38,63,0.2,4, 5
Danny Downes,1.66,34,3.53,37,0.0,0,37,0.5,2, 0
Danny Martinez,2.73,28,3.77,63,3.0,45,36,0.0,0, 4
Danny Roberts,3.41,44,3.08,55,0.18,6,53,0.4,5, 0
Darko Stosic,2.61,45,4.04,58,3.42,50,83,0.0,0, 8
Daron Cruickshank,2.88,38,2.98,57,2.04,41,60,0.2,5, 4
Darrell Horcher,2.05,44,4.21,39,0.35,50,47,0.7,3, 3
Darren Elkins,3.27,36,2.8,53,2.52,35,58,1.3,4, 5
Darren Stewart,2.94,44,2.44,54,1.38,44,65,0.0,5, 6
Darren Till,2.41,46,3.03,59,0.66,41,82,0.0,4, 8
Darren Uyenoyama,1.34,39,2.21,66,1.42,33,35,0.7,2, 2
Dave Herman,4.98,60,3.78,48,1.49,100,58,0.0,8, 8
Dave Menne,1.84,44,1.99,42,0.46,50,57,2.5,3, 7
Davey Grant,3.13,52,1.68,65,2.64,47,64,0.0,6, 6
Davi Ramos,2.74,39,2.8,57,2.42,50,100,0.7,1, 8
David Abbott,1.35,30,3.55,38,1.07,33,66,0.0,3, 3
David Bielkheden,1.11,57,1.64,54,2.65,63,14,0.0,0, 3
David Branch,1.66,39,1.91,56,2.55,32,43,0.0,0, 5
David Heath,1.48,30,5.16,49,0.33,50,57,1.0,3, 3
David Loiseau,1.59,44,3.64,43,0.43,42,36,0.1,2, 2
David Mitchell,1.74,32,2.06,55,0.66,50,29,2.0,0, 2
David Teymur,4.69,43,3.53,55,0.94,33,77,0.0,8, 3
David Zawada,3.38,41,4.32,56,0.94,22,60,3.3,5, 1
Dean Lister,1.26,35,1.89,61,1.58,15,50,1.1,2, 0
Deiveson Figueiredo,2.54,52,2.76,52,1.81,50,61,2.4,2, 7
Demetrious Johnson,3.43,54,1.66,67,3.35,56,65,0.5,0, 7
Demian Maia,1.82,43,2.03,63,2.55,26,61,1.0,3, 6
Denis Kang,2.27,35,1.65,67,2.51,65,38,1.2,0, 5
Dennis Bermudez,4.42,46,3.07,59,3.89,40,82,1.1,0, 8
Dennis Hallman,1.12,44,1.96,43,1.79,30,25,2.1,0, 0
Dennis Siver,3.87,32,2.67,65,0.87,32,65,0.3,8, 1
Derek Brunson,3.39,45,2.91,54,2.8,29,100,0.5,0, 8
Derrick Lewis,2.53,49,2.14,44,0.48,24,53,0.0,4, 0
Desmond Green,3.7,46,2.51,69,1.62,50,75,0.0,7, 5
Devin Clark,3.12,55,2.45,47,3.03,42,80,0.1,0, 8
Devin Cole,2.68,50,2.53,47,0.9,33,66,0.0,5, 2
Devin Powell,2.88,41,3.67,51,0.0,0,0,0.6,0, 0
Dhiego Lima,2.84,40,2.96,62,1.66,44,66,0.8,5, 6
Diego Brandao,2.94,47,3.38,62,3.21,68,80,0.6,0, 8
Diego Ferreira,5.07,36,3.11,61,1.04,27,70,1.0,8, 2
Diego Nunes,2.72,43,2.59,58,1.18,44,65,0.6,5, 7
Diego Rivas,1.37,40,2.14,52,1.79,60,64,0.9,4, 8
Diego Sanchez,2.73,38,2.95,56,1.57,24,46,0.9,3, 1
Din Thomas,1.85,37,2.6,59,1.38,52,76,1.2,4, 8
Dokonjonosuke Mishima,1.06,41,1.22,52,2.47,40,25,1.4,0, 2
Dominick Cruz,3.53,31,2.15,74,3.17,50,83,0.1,0, 8
Dominick Reyes,4.88,49,3.0,48,0.24,16,82,0.2,8, 0
Dominique Steele,2.32,49,2.42,50,2.95,42,76,0.0,0, 8
Don Frye,2.87,64,3.57,37,0.91,57,45,0.7,8, 8
Donald Cerrone,4.33,46,4.27,53,1.21,36,73,1.3,8, 3
Dong Hyun Kim,2.12,49,1.89,58,2.93,43,71,0.6,2, 8
Dong Hyun Ma,2.84,41,4.1,54,1.27,53,33,0.0,1, 3
Dong Sik Yoon,0.99,36,2.33,51,1.6,29,33,1.3,1, 1
Dongi Yang,3.55,51,3.21,63,1.7,41,61,0.5,6, 5
Dooho Choi,5.32,51,6.38,53,0.41,20,50,0.0,6, 0
Doug Marshall,6.99,46,4.02,60,0.0,0,66,2.4,8, 0
Douglas Silva de Andrade,3.96,38,4.43,58,0.65,50,65,0.0,7, 3
Drakkar Klose,3.89,53,3.64,53,1.56,30,68,0.0,7, 3
Drew Dober,4.51,40,4.16,53,0.95,17,62,0.1,7, 0
Drew Fickett,2.33,41,2.29,57,1.3,35,30,2.2,1, 1
Drew McFedries,5.13,51,4.56,52,1.42,100,56,0.7,8, 8
Duane Ludwig,4.62,44,3.05,57,0.43,25,59,0.1,7, 1
Dustin Hazelett,2.24,40,3.51,46,0.55,50,25,4.1,0, 2
Dustin Kimura,1.33,21,3.82,51,0.93,37,50,2.2,2, 3
Dustin Ortiz,2.94,44,2.17,56,3.01,36,52,0.1,0, 6
Dustin Pague,1.65,53,2.96,41,1.03,44,55,2.6,2, 6
Dustin Poirier,5.51,49,3.97,56,1.55,37,61,1.2,7, 3
Dylan Andrews,2.21,50,2.72,46,2.83,50,57,0.4,0, 6
Ebenezer Fontes Braga,2.42,50,0.42,71,0.0,0,90,0.6,7, 0
Ed Herman,3.33,49,3.13,44,2.2,48,59,1.2,5, 6
Ed Ratcliff,2.71,38,2.96,63,0.28,16,53,0.0,4, 0
Eddie Alvarez,4.32,41,4.39,55,2.92,36,92,0.5,8, 3
Eddie Gordon,2.03,32,2.57,60,1.93,83,63,0.0,6, 8
Eddie Sanchez,3.45,43,3.3,43,1.13,26,42,0.0,4, 1
Eddie Wineland,3.41,29,3.51,70,0.28,28,86,0.1,8, 0
Edgar Garcia,3.16,29,4.23,60,2.21,57,50,0.6,2, 4
Edmen Shahbazyan,4.11,52,2.16,62,6.77,40,75,0.8,0, 8
Edson Barboza,4.01,43,4.16,60,0.49,44,80,0.1,8, 3
Edwin DeWees,1.53,33,6.19,39,2.18,66,0,3.3,0, 2
Edwin Figueroa,2.57,39,3.06,51,0.2,100,37,0.6,8, 8
Efrain Escudero,2.92,44,2.3,63,1.31,40,66,0.8,5, 6
Eiji Mitsuoka,1.49,49,2.26,45,2.3,36,20,1.6,0, 1
Elias Silverio,3.67,49,2.97,51,1.62,38,85,0.2,8, 4
Elias Theodorou,4.19,42,2.39,53,1.27,28,59,0.0,6, 2
Eliot Marshall,1.93,27,2.39,67,0.47,33,79,0.9,4, 6
Elizabeth Phillips,2.6,33,3.07,58,0.75,25,53,0.2,4, 1
Elizeu Zaleski dos Santos,4.17,39,3.13,59,0.65,20,48,0.5,5, 0
Elvis Sinosic,1.13,37,4.6,53,0.0,0,0,1.2,0, 0
Emil Meek,2.52,39,2.53,38,0.25,33,47,1.0,3, 1
Emily Whitmire,2.84,31,2.95,55,1.18,66,66,0.6,5, 8
Enrique Barzola,3.91,41,2.97,68,4.2,45,66,0.3,0, 8
Enson Inoue,1.7,63,1.88,30,0.0,0,33,0.0,3, 0
Eric Lawson,1.58,57,1.97,44,8.88,42,0,3.0,0, 5
Eric Schafer,1.89,34,3.38,56,1.81,36,50,1.8,2, 4
Eric Shelton,2.57,42,1.88,63,2.83,51,46,0.2,0, 5
Eric Spicely,3.71,45,5.72,55,1.31,20,75,1.0,8, 1
Erick Silva,2.5,48,4.18,49,0.85,35,56,1.4,4, 2
Erik Koch,2.33,42,2.82,47,1.02,42,81,1.0,4, 8
Erik Perez,3.16,40,2.09,66,3.16,55,69,0.2,0, 7
Eryk Anders,3.06,45,4.15,52,1.51,40,76,0.1,7, 3
Estevan Payan,4.25,42,3.58,57,0.36,100,60,0.4,8, 8
